,0
1,2.3660824696242945e-06
2,1.114705839840427e-06
3,9.680040339601144e-07
4,9.4295766896646e-07
5,1.0228228253159518e-06
6,1.093787534250122e-06
7,1.1289340008385857e-06
8,1.15742266868822e-06
9,1.276429235403227e-06
10,1.272925403243495e-06
11,1.3533264927388747e-06
12,1.4301327978041065e-06
13,1.47934218719415e-06
14,1.6289555776520943e-06
15,1.754766757913835e-06
16,1.7240702520723047e-06
17,1.783679858165437e-06
18,1.8307053973051503e-06
19,1.8711297339737848e-06
20,1.9604555047302763e-06
21,2.0839138601257246e-06
22,2.1171338858275343e-06
23,2.142976090974881e-06
24,2.4478527933815283e-06
25,2.38618219984212e-06
26,2.377673933616871e-06
27,2.502658423336303e-06
28,2.593518579843427e-06
29,2.6835881166609154e-06
30,2.615192421750988e-06
31,2.6795620647585847e-06
32,2.7870332116767845e-06
33,2.8583246674855752e-06
34,2.9142412129586774e-06
35,3.0030082579517614e-06
36,3.1070031103571105e-06
37,3.222085865905341e-06
38,3.304805785363039e-06
39,3.2820061548404017e-06
40,3.6084082920523314e-06
41,3.5627289900004715e-06
42,3.515962949896665e-06
43,3.533022832289323e-06
44,3.686987667129333e-06
45,3.697819338715176e-06
46,3.779896382975918e-06
47,3.833987603150693e-06
48,3.891164184198957e-06
49,3.952904571105216e-06
50,4.334603776225125e-06
51,4.289613115344464e-06
52,4.36575199391956e-06
53,4.350512273929065e-06
54,4.325879941521864e-06
55,4.423353999644497e-06
56,4.410926096878353e-06
57,4.558117888738317e-06
58,4.643581806227476e-06
59,4.70486048539434e-06
60,4.821946243039674e-06
61,4.782291671290295e-06
62,5.144736823707872e-06
63,5.064718018566521e-06
64,5.055888338146293e-06
65,5.05151202049052e-06
66,5.353791009122792e-06
67,5.3987692398293755e-06
68,5.39214069613269e-06
69,5.6117107913473266e-06
70,5.493911209638049e-06
71,5.553909484309014e-06
72,5.600000023222345e-06
73,5.810429447852856e-06
74,5.89928425687669e-06
75,5.779149342210929e-06
76,5.923999978665215e-06
77,5.91138715673321e-06
78,6.1686034729679575e-06
79,5.97182950064232e-06
80,6.039583252004377e-06
81,6.206604679798952e-06
82,6.237409293676914e-06
83,6.295341624327363e-06
84,6.505670036446092e-06
85,6.67555784882409e-06
86,6.591340221798278e-06
87,6.921566632548574e-06
88,6.9202041213058546e-06
89,6.746114000172591e-06
90,6.789408061226157e-06
91,6.811526443487467e-06
92,7.012873269012342e-06
93,7.113106282376487e-06
94,7.214830151193676e-06
95,7.132227887541847e-06
96,7.397636152872814e-06
97,7.416049403618971e-06
98,7.400518683787905e-06
99,7.556907195938732e-06
100,7.767446663565574e-06
101,7.646694202851581e-06
102,7.697821663337793e-06
103,7.786866701192405e-06
104,7.7487046663273e-06
105,7.978681750885948e-06
106,7.944663222324238e-06
107,8.06618400612478e-06
108,8.215783924594045e-06
109,8.291040207327696e-06
110,8.273498965263382e-06
111,8.242871989145958e-06
112,8.445417010001157e-06
113,8.356787591275078e-06
114,8.45952382174202e-06
